,tokens,ner_tags,langs,spans
21,"[""'"", ""''"", 'Кокша', ""''"", ""'"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
22,"['ЮНӘЛТҮ', 'Rusiä', 'Federatsiäseneñ', 'Üzäk', 'bankı']","[0, 3, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Rusiä Federatsiäseneñ Üzäk bankı']
23,"['—', ""'"", ""''"", 'Ипи', 'пешерүчеләр', 'көне', ""''"", ""'"", ""''"", '(', ')', '.']","[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Ипи']
24,"[""''Алтынчәч"", ""''"", '—', '«Алтынчәч»', 'Нәҗип', 'Җиһанов']","[0, 0, 0, 0, 1, 2]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Нәҗип Җиһанов']
25,"['Әбу', 'Бәкер', 'аны', 'сатып', 'алып', 'Умәйәдән', 'коткара', ',', 'һәм', 'иреккә', 'җибәрә', '.']","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Әбу Бәкер']
26,"['Яз', 'озак', 'бара', ',', 'салкынча', 'һәм', 'температура', 'тирбәлеше', 'күзәтелә', '.']","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Яз']
27,"['Кеше', 'потенциалы', 'үсеше', 'индексы', '(', 'КПҮИ', ')']","[3, 4, 4, 4, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Кеше потенциалы үсеше индексы']
28,"['(', 'Archive', ')', 'Авиакомпания', '«Татарстан»', '.']","[0, 0, 0, 3, 4, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Авиакомпания «Татарстан»']
29,"[""'"", ""''"", 'Плотавка', ""''"", ""'"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
30,"['Гарәп', 'теленнән', 'кергән', '«Вәлит»', '/', '«Вәлид»', '(', '«', ""''"", 'бала', ""''"", '»', ')', 'исеменнән', 'ясалган', '.']","[3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Гарәп теленнән']
31,"['Ярополк', 'Святослав', 'улы']","[1, 2, 2]","['tt', 'tt', 'tt']",['PER: Ярополк Святослав улы']
32,"['Robert', 'A.', 'Heinlein']","[1, 2, 2]","['tt', 'tt', 'tt']",['PER: Robert A. Heinlein']
33,"['===', 'Көнчыгыш', 'диалектның', 'кайбер', 'үзенчәлекләре', '===']","[0, 3, 4, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Көнчыгыш диалектның']
34,"[""'"", ""''"", 'Гнилуха', ""'"", ""''"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
35,"[""'"", ""''"", 'Сапогово', ""''"", ""'"", '(', ')', '—', 'Киров', 'өлкәсенең', 'Санчурск', 'районында', 'урнашкан', 'авыл', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Киров өлкәсенең', 'LOC: Санчурск районында']"
36,"['Омск', 'өлкәсе', ',', 'Новосибирск', 'өлкәсе', ',', 'Төмән', 'өлкәсе', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 5, 6, 0, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Омск өлкәсе', 'LOC: Новосибирск өлкәсе', 'LOC: Төмән өлкәсе']"
37,"['Балтай', 'районы', ',', 'Вольск', 'районы']","[5, 6, 0, 5, 6]","['tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Балтай районы', 'LOC: Вольск районы']"
38,"['Төньяк', 'Атлантик', 'килешү', 'оешмасы']","[3, 4, 4, 4]","['tt', 'tt', 'tt', 'tt']",['ORG: Төньяк Атлантик килешү оешмасы']
39,"['А.Н.', 'Туполев', 'исемендәге', 'Казан', 'илкүләм', 'тикшеренү', 'техник', 'университеты']","[3, 4, 4, 4, 4, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: А.Н. Туполев исемендәге Казан илкүләм тикшеренү техник университеты']
40,"[""''Бәдигыльҗамал"", ""''"", '—', '«Каениш»', 'Галиәсгар', 'Камал']","[0, 0, 0, 0, 1, 2]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Галиәсгар Камал']
41,"['Үзбәк', 'ханның', 'кече', 'улы', '.']","[1, 2, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['PER: Үзбәк ханның']
42,"['Джонатан', 'Свифт', '—', 'язучы', ',', '«Гулливер', 'сәяхәтләре»', 'романы', 'авторы', '.']","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Джонатан Свифт']
43,"['Мәдрәсәдә', 'укыганда', 'ук', 'Тукайга', 'ияреп', 'шигырьләр', 'яза', 'башлый', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Тукайга']
44,"['Коми', 'Республикасы', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Коми Республикасы']
45,"['юнәлтү', 'Волга', '(', 'футбол', 'клубы', ',', 'Нижгар', ')']","[0, 3, 4, 4, 4, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['ORG: Волга ( футбол клубы , Нижгар )']"
46,"['Киров', 'өлкәсе', ',', 'Коми', 'Республикасы', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Киров өлкәсе', 'LOC: Коми Республикасы']"
47,"['Кечкенәдән', 'үк', 'Г.', 'Тукай', 'әсәрләрен', 'яратып', 'укый', ',', 'үзе', 'дә', 'яшерен', 'генә', 'шигырьләр', 'языштыргалый', '.']","[0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Г. Тукай']
48,"['Адыгея', ',', 'Краснодар', 'крае', 'биләмәләрендә', 'ага', '.']","[5, 0, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Адыгея', 'LOC: Краснодар крае']"
49,"['Архангельск', 'өлкәсе', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Архангельск өлкәсе']
50,"[""'"", ""''"", 'Игровка', ""''"", ""'"", '—', 'Башкортстанның', 'Яңавыл', 'районында', 'урнашкан', 'авыл', '.']","[0, 0, 0, 0, 0, 0, 5, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Башкортстанның', 'LOC: Яңавыл районында']"
51,"['ЮНӘЛТҮ', 'Georg', 'Fridrix', 'Händel']","[0, 1, 2, 2]","['tt', 'tt', 'tt', 'tt']",['PER: Georg Fridrix Händel']
52,"['Тверь', 'өлкәсе', ',', 'Мәскәү', 'өлкәсе', ',', 'Ярославль', 'өлкәсе', ',', 'Владимир', 'өлкәсе', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 5, 6, 0, 5, 6, 0, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Тверь өлкәсе', 'LOC: Мәскәү өлкәсе', 'LOC: Ярославль өлкәсе', 'LOC: Владимир өлкәсе']"
53,"[""''Сираҗетдин"", ""''"", '–', '«Банкрот»', 'Галиәсгар', 'Камал', 'һ.', 'б', '.']","[0, 0, 0, 0, 1, 2, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Галиәсгар Камал']
54,"['Калинин', 'фронты', '(', 'Иван', 'Степан', 'улы', 'Конев', ')', '.']","[5, 6, 0, 1, 2, 2, 2, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Калинин фронты', 'PER: Иван Степан улы Конев']"
55,"[""'"", ""''"", 'Нерым-Еган', ""'"", ""''"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
56,"['Апостол', 'Ягъкуб', 'Зебедәйнең', 'энесе', '.']","[1, 2, 2, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['PER: Апостол Ягъкуб Зебедәйнең']
57,"['ЮНӘЛТҮ', 'Antuan', 'Añri', 'Bekkerel']","[0, 1, 2, 2]","['tt', 'tt', 'tt', 'tt']",['PER: Antuan Añri Bekkerel']
58,"[""'"", ""''"", 'Тайганур', ""''"", ""'"", '(', ',', ')', '—', 'Мари', 'Илнең', 'Морке', 'районында', 'урнашкан', 'авыл', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Мари Илнең', 'LOC: Морке районында']"
59,"['Төньяк', 'Осетия', 'биләмәләрендә', 'ага', '.']","[3, 4, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Төньяк Осетия']
60,"['ЮНӘЛТҮ', 'Советлар', 'Берлеге', 'коммунистик', 'фиркасе']","[0, 3, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Советлар Берлеге коммунистик фиркасе']
61,"['Шунда', 'Әнвәр', 'Галим', 'белән', 'таныша', '.']","[0, 1, 2, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Әнвәр Галим']
62,"['Шулай', 'ук', 'Габдулла', 'Тукай', 'да', 'монда', 'актив', 'язышкан', ',', 'аның', 'беренче', 'әсәрләре', 'дә', 'монда', 'басылган', ',']","[0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Габдулла Тукай']
63,"[""'"", ""''"", 'Коодь-Яха', ""''"", ""'"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
64,"['Намаз', 'бүлмәсендә', 'диаметры', 'белән', '25', 'метрлы', 'зур', 'люстра', 'урнаштырылган', '.']","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Намаз']
65,"[""'"", ""''"", 'Греция', ""''"", ""'""]","[0, 0, 5, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Греция']
66,"['ЮНӘЛТҮ', 'Төрки', 'халыклар', 'мәдәнияте', 'халыкара', 'оешмасы']","[0, 3, 4, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Төрки халыклар мәдәнияте халыкара оешмасы']
67,"['Mäskäwneñ', 'buysındıruı', '(', '1382', ')']","[3, 4, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Mäskäwneñ buysındıruı ( 1382 )']
68,"[""'"", ""''"", 'Ягрэйнгыни-Сё', ""''"", ""'"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
69,"['Николай', 'Шверник', '(', '1938—1946', ')']","[1, 2, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['PER: Николай Шверник']
70,"[""'"", ""''"", 'Выдрица', ""''"", ""'"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
71,"['Биредә', 'һава', 'торышы', 'бик', 'үзгәрүчән', ',', 'моның', 'төп', 'сәбәбе', 'булып', 'Урал', 'таулары', 'тора', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Урал таулары']
72,"['Удмурт', 'дәүләт', 'университетының', 'филиалы', 'бар', '.']","[3, 4, 4, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Удмурт дәүләт университетының']
73,"['Кострома', 'өлкәсе', ',', 'Вологда', 'өлкәсе', ',', 'Ярославль', 'өлкәсе', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 5, 6, 0, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Кострома өлкәсе', 'LOC: Вологда өлкәсе', 'LOC: Ярославль өлкәсе']"
74,"['Носкы', 'елгасына', 'кушылып', ',', 'аның', 'кушылдыгы', 'булып', 'тора', '.']","[5, 0, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Носкы']
75,"['«Пики', 'дамасы»', '(', ""''Пиковая"", 'дама', ""''"", ')', '(', ""''опера"", ""''"", ')', 'П.Чайковский']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: П.Чайковский']
76,"['Пермь', 'крае', ',', 'Киров', 'өлкәсе', ',', 'Удмуртия', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 5, 6, 0, 5, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Пермь крае', 'LOC: Киров өлкәсе', 'LOC: Удмуртия']"
77,"['ЮНӘЛТҮ', 'Вилһелм', 'Конрад', 'Рөнтген']","[0, 1, 2, 2]","['tt', 'tt', 'tt', 'tt']",['PER: Вилһелм Конрад Рөнтген']
78,"['Вологда', 'өлкәсе', ',', 'Киров', 'өлкәсе', ',', 'Коми', 'Республикасы', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 5, 6, 0, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Вологда өлкәсе', 'LOC: Киров өлкәсе', 'LOC: Коми Республикасы']"
79,"['ЮНӘЛТҮ', 'Borussiä', 'Dortmund', 'futbol', 'taqımı']","[0, 3, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Borussiä Dortmund futbol taqımı']
80,"['Биредә', 'һава', 'торышы', 'бик', 'үзгәрүчән', ',', 'моның', 'төп', 'сәбәбе', 'булып', 'Урал', 'таулары', 'тора', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Урал таулары']
81,"['Аннан', 'соң', 'Урта', 'Азиягә', ',', 'Кавказ', 'белән', 'Идел', 'буена', 'кергәннәр', '.']","[0, 0, 5, 6, 0, 5, 0, 3, 4, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Урта Азиягә', 'LOC: Кавказ', 'ORG: Идел буена']"
82,"['Ставрополь', 'крае', ',', 'Калмыкия', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 5, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Ставрополь крае', 'LOC: Калмыкия']"
83,"['Киров', 'өлкәсе', ',', 'Удмуртия', ',', 'Мари', 'Ил', ',', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 5, 0, 5, 6, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Киров өлкәсе', 'LOC: Удмуртия', 'LOC: Мари Ил']"
84,"['Аwыл', 'өсөндә', '(', 'өстендә', ')', 'җөрөп', '...', 'Бу', 'күренеш', 'себер', 'диалектларында', 'киң', 'таралган', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: себер диалектларында']
85,"[""''Хәдичә"", ""''"", '—', '«Зәңгәр', 'шәл»', 'К.', 'Тинчурин']","[0, 0, 0, 0, 0, 1, 2]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: К. Тинчурин']
86,"[""'"", ""''"", 'Кожласола', ""''"", ""'"", '(', ',', ')', '—', 'Мари', 'Илнең', 'Сернур', 'районында', 'урнашкан', 'авыл', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Мари Илнең', 'LOC: Сернур районында']"
87,"['ЮНӘЛТҮ', '«Кызыл', 'таң»', 'газетасы']","[0, 3, 4, 4]","['tt', 'tt', 'tt', 'tt']",['ORG: «Кызыл таң» газетасы']
88,"['Максим', 'Горькийның', ',', 'А.П', '.']","[1, 2, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['PER: Максим Горькийның']
89,"['Гадел', 'Кутуй', '-', 'язучы']","[1, 2, 0, 0]","['tt', 'tt', 'tt', 'tt']",['PER: Гадел Кутуй']
90,"[""'"", ""''"", 'Кодима', ""''"", ""'"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
91,"['И.С.Тургенев', ',', 'М.', 'Горький', ',', 'М.Бубеннов', 'әсәрләрен', 'тәрҗемә', 'иткән', '.']","[1, 0, 1, 2, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['PER: И.С.Тургенев', 'PER: М. Горький']"
92,"['Ераклыкка', 'бәйлелек', 'гравитацион', 'тәэсир', 'итешүгә', 'охшаш', '.']","[0, 0, 3, 4, 4, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: гравитацион тәэсир итешүгә']
93,"['Киев', 'аерым', 'хәрби', 'округы']","[3, 4, 4, 4]","['tt', 'tt', 'tt', 'tt']",['ORG: Киев аерым хәрби округы']
94,"['Халыкара', 'балалар', 'китабы', 'көне']","[3, 4, 4, 4]","['tt', 'tt', 'tt', 'tt']",['ORG: Халыкара балалар китабы көне']
95,"['ЮНӘЛТҮ', 'Söläyman', 'I', 'Qanuni']","[0, 1, 2, 2]","['tt', 'tt', 'tt', 'tt']",['PER: Söläyman I Qanuni']
96,"['«Ярлыкау»', 'М.', 'Кәрим', '—', ""''Янтимер"", 'Байназаров', ""''""]","[0, 1, 2, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: М. Кәрим']
